url,wine_points,wine_name,wine_desc,taster,price,designation,variety,appellation,winery,alcohol,bottle size,category,importer,date published,user avg rating
https://www.winemag.com/buying-guide/bodegas-valdemar-2009-valdemar-spanish-white-viura-rioja/,86.0,Bodegas Valdemar 2009 Valdemar Viura (Rioja),"Neutral on the nose except for a splash of pear and vanilla. The palate is medium in intensity, with tangy citric flavors of orange and grapefruit. Citrusy on the finish, which cements the wine as a refresher that's well worth a glass or more.",Michael Schachner,8.0,Valdemar,"Viura, Spanish White","Rioja, Northern Spain, Spain",Bodegas Valdemar,13%,750 ml,White,CIV/USA,11/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/hirsch-2016-kammern-gruner-veltliner-kamptal/,91.0,Hirsch 2016 Kammern Grüner Veltliner (Kamptal),"A restarined but fresh note of pure lemon rises from the glass. The palate is just as fresh and adds an earthy, stony touch as well as the fruit and texture of russet pear. This is slender and refreshing, yet full of flavor. The finish is lip-smackingly lemony.",Anne Krebiehl MW,25.0,Kammern,Grüner Veltliner,"Kamptal, Austria",Hirsch,12.5%,750 ml,White,"Skurnik Wines, Inc",9/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/bacalhoa-wines-portugal-2008-quinta-cabernet-sauvignon-peninsula-setubal/,93.0,Bacalhôa Wines of Portugal 2008 Quinta da Bacalhôa Cabernet Sauvignon (Península de Setúbal),"This Cabernet-based wine is supremely elegant. It brings together new wood flavors, firm and dry Cabernet tannins and powerful concentration. It has great depth of flavor; very complex, the acidity promising good aging.",Roger Voss,30.0,Quinta da Bacalhôa,Cabernet Sauvignon,"Península de Setúbal, Portugal",Bacalhôa Wines of Portugal,14.5%,750 ml,Red,Admiral Imports,12/31/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/chateau-coussin-2010-croix-prieur-rose-cotes/,89.0,Château Coussin 2010 La Croix du Prieur Rosé (Côtes de Provence),"Herbal wine, its fruits laced with flavors of lavender and thyme. This second wine of Château Coussin is immediately attractive while also having a fine edge of texture.",Roger Voss,16.0,La Croix du Prieur,Rosé,"Côtes de Provence, Provence, France",Château Coussin,12.5%,750 ml,Rose,T. Edward Wines Ltd,8/1/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/malgra-2006-mora-sassi-barbera-barbera-dasti-superiore-nizza/,88.0,Malgra 2006 Mora di Sassi  (Barbera d'Asti Superiore Nizza),"Mora di Sassi offers nice fruit, cherry and berry tones followed by strong tones of smoke, spice and leather. The acidity is fresh and zippy and overall this wine needs two more years to integrate.",,16.0,Mora di Sassi,Barbera,"Barbera d'Asti Superiore Nizza, Piedmont, Italy",Malgra,,750 ml,Red,Metrowine Distribution,9/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/frisk-2011-prickly-rose-central-valley-lodi/,86.0,Frisk 2011 Prickly Rosé (Lodi),"Light and pretty with watermelon and faint strawberry notes, Frisk is just slightly fizzy. Its aromas almost trick one into expecting a wine that's sweet, but it finishes dry and is in balance. Made from Grenache grapes, it's a likable, refreshing drink ready for the picnic basket or patio.",Virginie Boone,11.0,Prickly,Rosé,"Lodi, Central Valley, California, US",Frisk,11.9%,750 ml,Rose,,12/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/newton-2008-red-label-cabernet-sauvignon-napa-county/,85.0,Newton 2008 Red Label Cabernet Sauvignon (Napa County),"Very dry, tannic and a little coarse. Shows flavors of blackberries, currants, herbs and oak. An easy wine with good varietal character to drink now.",,28.0,Red Label,Cabernet Sauvignon,"Napa County, Napa, California, US",Newton,14.5%,750 ml,Red,,10/1/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/kaena-2015-cuvee-lucille-grenache-ballard-canyon/,94.0,Kaena 2015 Cuvée Lucille Grenache (Ballard Canyon),"Strong aromas of mulberry syrup, exotic strawberry, allspice, cardamom and fresh cola combine for a deliciously rich nose on this attention-grabbing wine from Grenache-focused winemaker Mikael Sigouin. It's soft on the palate before the tannins tighten up, full of cherry mousse and strawberry-foam flavors that are leveled by bay leaf and garden herbs.",Matt Kettmann,60.0,Cuvée Lucille,Grenache,"Ballard Canyon, Central Coast, California, US",Kaena,14.9%,750 ml,Red,,12/31/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/brick-house-2014-cuvee-du-tonnelier-pinot-noir-ribbon-ridge/,92.0,Brick House 2014 Cuvée du Tonnelier Pinot Noir (Ribbon Ridge),"What differentiates this offering is the block selection—all Pommard clone—and a higher (30%) proportion of new cooperage. Warm and generous fruit flavors bring strawberry and cherry in a lushly textured wine that refreshes as it delights. The finish adds extended notes of lemon custard, orange flan and a lick of caramel.",Paul Gregutt,48.0,Cuvée du Tonnelier,Pinot Noir,"Ribbon Ridge, Willamette Valley, Oregon, US",Brick House,14.1%,750 ml,Red,,10/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/three-rivers-2012-malbec-columbia-valley-wa/,88.0,Three Rivers 2012 Malbec (Columbia Valley (WA)),"This wine is a blend of Sagemoor and Gamache Malbec along with Klipsun Cabernet (10%) and Seven Hills Petit Verdot (10%). The oak is primary, giving flavors of vanilla and woodspice followed by savory herbs, plum and pepper.",Sean P. Sullivan,29.0,,Malbec,"Columbia Valley (WA), Columbia Valley, Washington, US",Three Rivers,14.4%,750 ml,Red,,11/1/2015,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/beaumont-2002-cape-vintage-red-walker-bay/,88.0,Beaumont 2002 Cape Vintage Red (Walker Bay),,Susan Kostrzewa,37.0,Cape Vintage,"Red Blends, Red Blends","Walker Bay, South Africa",Beaumont,20%,750 ml,Red,wine@34south,7/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/sottano-2010-judas-malbec-mendoza/,92.0,Sottano 2010 Judas Malbec (Mendoza),"Dark, dense and minty on the bouquet, which is sexy and magnetic. Saturated and jammy but still maintaining balance, and then a superconcentrated set of jammy blackberry flavors runs side by side with toasty oak and chocolate. Almost dessert-like on the finish. A very rich and modern style of Malbec.",Michael Schachner,90.0,Judas,Malbec,"Mendoza, Mendoza Province, Argentina",Sottano,15.3%,750 ml,Red,Well-Oiled Wine Company,12/31/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/tenuta-delle-terre-nere-2014-bianco-etna/,90.0,Tenuta delle Terre Nere 2014 Bianco  (Etna),"Aromas of toasted oak, nut, acacia flower and orchard fruit come together in the glass. The firm palate offers mature yellow apple, candied nectarine zest, toasted hazelnut and flinty mineral. Bright acidity provides balance.",Kerin O’Keefe,20.0,Bianco,White Blend,"Etna, Sicily & Sardinia, Italy",Tenuta delle Terre Nere,12.5%,750 ml,White,de Grazia Imports LLC,8/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/andrew-rich-2004-cabernet-franc-columbia-valley-wa/,90.0,Andrew Rich 2004 Cabernet Franc (Columbia Valley (WA)),"The Alder Ridge vineyard supplied the fruit, and the blend includes 10% Malbec—“just for fun,” says the winemaker. This is sure to be a crowd pleaser, showing off the smooth and sappy side of Cab Franc. Delicious from the get-go, it manages its tannins perfectly and puts the fruit in the driver's seat.",Paul Gregutt,20.0,,Cabernet Franc,"Columbia Valley (WA), Columbia Valley, Washington, US",Andrew Rich,,750 ml,Red,,12/31/2006,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/salvatore-molettieri-2003-riserva-vigna-cinque-querce-italian-red-aglianico-taurasi/,91.0,Salvatore Molettieri 2003 Riserva Vigna Cinque Querce  (Taurasi),"Here's a modern and beautiful wine with warming tones of vanilla, spice, chocolate and blackberry. The wine is thick and dense with dark extraction and very solid tannins. Drink after 2010. A Marc de Grazia selection, various American importers.",,94.0,Riserva Vigna Cinque Querce,"Aglianico, Italian Red","Taurasi, Southern Italy, Italy",Salvatore Molettieri,15%,750 ml,Red,de Grazia Imports LLC,11/1/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/eleven-2010-viognier-columbia-valley-yakima/,88.0,Eleven 2010 Viognier (Yakima Valley),"A pretty bouquet of honeysuckle, lime and orange peel introduces this well-made Viognier. It offers pleasing richness across the palate, with some phenolic edginess sparking the finish.",Paul Gregutt,24.0,,Viognier,"Yakima Valley, Columbia Valley, Washington, US",Eleven,13.4%,750 ml,White,,9/1/2012,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/bellavista-2001-gran-cuvee-brut-sparkling-franciacorta/,90.0,Bellavista 2001 Gran Cuvée Brut  (Franciacorta),"Brilliantly luminous  with generous and intense aromas of yellow rose, exotic fruit, almond and melted butter. The wine is creamy and smooth, with sharp points of acidity that keep the mouth lively. The overall effect is a carefully crafted balance between creaminess and crispness. Imported by Empson (USA) Ltd.",,53.0,Gran Cuvée Brut,"Sparkling Blend, Sparkling","Franciacorta, Lombardy, Italy",Bellavista,12.5%,1.5L,Sparkling,Empson USA Ltd,6/1/2006,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/quinta-chocapalha-2008-portuguese-white-arinto-estremadura/,86.0,Quinta de Chocapalha 2008 Arinto (Estremadura),"Bright grapefruit and citric flavors give the wine a bright, floral character, punctuated by tight acidity. The wine has extreme mouthwatering freshness and a crisp aftertaste.",Roger Voss,,,"Arinto, Portuguese White","Estremadura, Portugal",Quinta de Chocapalha,12.5%,750 ml,White,Europvin USA,4/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/chaddsford-2005-naked-chardonnay-pennsylvania/,82.0,Chaddsford 2005 Naked Chardonnay (Pennsylvania),"An unusual, slightly skunky nose leads to an angular wine with lots of acidic, citric notes. Some balance and weight is lacking here, but the wine will likely pair well with seafood and salads.",Susan Kostrzewa,15.0,Naked,Chardonnay,"Pennsylvania, Pennsylvania, US",Chaddsford,13.3%,750 ml,White,,5/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/bouchard-aine-et-fils-2014-clos-du-roi-premier-cru-beaune/,91.0,Bouchard Aîné et Fils 2014 Clos du Roi Premier Cru  (Beaune),"This is a juicy wine, packed with red fruits. It has acidity along with an edge of tannins. The attractive fruitiness suggests the wine will develop quickly. Drink from 2019.",Roger Voss,69.0,Clos du Roi Premier Cru,Pinot Noir,"Beaune, Burgundy, France",Bouchard Aîné et Fils,13%,750 ml,Red,Boisset Collection,10/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/mailly-grand-cru-1999-echansons-brut-sparkling-champagne/,93.0,Mailly Grand Cru 1999 Les Echansons Brut  (Champagne),"A Pinot Noir-dominated Champagne from 70-year-old vines, this is gorgeous, rich and concentrated. It has certainly benefitted from its aging before release. With a small production of 11,000 bottles, this is both serious and impressive.",Roger Voss,90.0,Les Echansons Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Mailly Grand Cru,,750 ml,Sparkling,Total Wine & More,12/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/carome-2007-gamberaja-barbera-barbera-dalba/,87.0,Ca'Romè 2007 La Gamberaja  (Barbera d'Alba),"Vintner Romano Marengo has crafted a bright Barbera d'Alba with a simple approach that is generously rich in fruit. There's sharp, evident acidity here with polished tannins and a bright finish. Pair it with ravioli stuffed with fresh ricotta cheese.",,35.0,La Gamberaja,Barbera,"Barbera d'Alba, Piedmont, Italy",Ca'Romè,14%,750 ml,Red,Empson USA Ltd,9/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/macari-2001-bergen-road-red-long-island-north-fork/,84.0,Macari 2001 Bergen Road Red (North Fork of Long Island),"This Meritage is a blend of 75% Merlot, 23% Cabernet Sauvignon and 2% Malbec. Cherry, toasted spice, tobacco and sweet vanilla notes are followed by a robust mingling of chocolate, raspberry and deep berry flavors on the palate. The finish is soft but the wine is a bit tannic right now—it needs aging. Overall, an impressive wine from a consistently good producer.",Susan Kostrzewa,40.0,Bergen Road,Bordeaux-style Red Blend,"North Fork of Long Island, Long Island, New York, US",Macari,13%,750 ml,Red,,5/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/centanni-2014-buoni-anni-bianco-white-santa-ynez-valley/,91.0,Cent'Anni 2014 Buoni Anni Bianco White (Santa Ynez Valley),"Doug Margerum takes his mastery of making clean and distinctive Burgundian and Rhône wines into Italian whites with this blend of 35% Pinot Bianco, 34% Pinot Grigio and 31% Tocai Friulano from three different vineyards. Lemon peel, lime zest and crisp nectarine show on the nose while the palate's sparkling acidity reveals flavors of white flowers, lemon cream and pear, all wrapped around a steely core.",Matt Kettmann,32.0,Buoni Anni Bianco,White Blend,"Santa Ynez Valley, Central Coast, California, US",Cent'Anni,12.5%,750 ml,White,,10/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/cayuse-2013-en-chamberlain-vineyard-syrah-walla-walla-valley-wa/,94.0,Cayuse 2013 En Chamberlain Vineyard Syrah (Walla Walla Valley (WA)),"Aromas of ground violets, charcoal, smoke, iron, black fruit, tar and salami lead a salty, briny, expressive palate that shows depth concentration and elegance. A long finish caps it off.",Sean P. Sullivan,80.0,En Chamberlain Vineyard,Syrah,"Walla Walla Valley (WA), Columbia Valley, Washington, US",Cayuse,13.3%,750 ml,Red,,12/31/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/david-hill-2006-estate-reserve-pinot-noir-willamette-valley/,89.0,David Hill 2006 Estate Reserve Pinot Noir (Willamette Valley),"Mostly from older vines, this crisp, herbal reserve doesn't bowl you over with sweet fruit or toasty oak; rather, it shows a more Burgundian side of the grape. It's reticent and leafy, with subtle flavors of earth and rock mixed in with tart pie cherries. Careful and sensitive winemaking does not overreach; the balance and elegance of the wine suggests that it could be cellared for a decade or more.",Paul Gregutt,40.0,Estate Reserve,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",David Hill,,750 ml,Red,,12/31/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/two-hands-2006-charlies-patch-cabernet-sauvignon-napa-valley/,90.0,Two Hands 2006 Charlie's Patch Cabernet Sauvignon (Napa Valley),"A young, distinguished Cab, made in the modern style of softness, ripeness and apparent sweetness. Floods the mouth with blackberries, black cherries, anise, chocolate, pepper and smoky oak. Should improve over the next 6-8 years.",,120.0,Charlie's Patch,Cabernet Sauvignon,"Napa Valley, Napa, California, US",Two Hands,14.9%,750 ml,Red,,9/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/remelluri-2006-blanco-white-rioja/,90.0,Remelluri 2006 Blanco White (Rioja),"Questionable value at $70, but this is very good and rather unique white Rioja. Remelluri uses a multitude of common and unheard-of grapes, and they hit it with a lot of oak. Still, amid the oily richness there's balance, acidity and excellent layering of grass, spice, apple, banana and lemon flavors. Big at 14.5%, but it will go really well with baked fish or lobster.",Michael Schachner,71.0,Blanco,White Blend,"Rioja, Northern Spain, Spain",Remelluri,14.5%,750 ml,White,Fine Estates From Spain,12/31/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/matthews-2013-cabernet-sauvignon-columbia-valley-wa/,90.0,Matthews 2013 Cabernet Sauvignon (Columbia Valley (WA)),"The aromas lean a bit into the green but not in an untoward way, with notes of parsley and other green herbs in front of pencil lead and black fruit. The dark-fruit flavors bring a sense of restraint and polish that carries throughout the finish.",Sean P. Sullivan,55.0,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Matthews,14.8%,750 ml,Red,,9/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/dr-loosen-2002-l-qba-riesling-mosel-saar-ruwer/,87.0,Dr. Loosen 2002 Dr. L QbA Riesling (Mosel-Saar-Ruwer),"Ernst Loosen's big-production wine is a smashing success in 2002, a bit shy on the nose, but possessing a well-balanced blend of apples, pears and citrus fruits on the palate. Its soft, talcum-powder-like texture and touch of sweetness make it easy to like, the balancing acidity makes it easy to drink.",Joe Czerwinski,11.0,Dr. L QbA,Riesling,"Mosel-Saar-Ruwer, Germany",Dr. Loosen,8.5%,750ML,White,Clarity Communications,8/1/2004,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/lyeth-2013-cabernet-sauvignon-north-coast/,90.0,Lyeth 2013 Cabernet Sauvignon (North Coast),"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",Jim Gordon,15.0,,Cabernet Sauvignon,"North Coast, North Coast, California, US",Lyeth,13.5%,750 ml,Red,,8/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/quinta-serrado-2007-picos-couto-reserva-red-dao/,92.0,Quinta do Serrado 2007 Picos do Couto Reserva Red (Dão),"With an initial smooth texture, this is a rich wine. The ripe fruit hides the firm, dense structure, packed with dry tannins and wood spice. The wine is powerful in a serious way, needing several years' aging.",Roger Voss,11.0,Picos do Couto Reserva,Portuguese Red,"Dão, Portugal",Quinta do Serrado,14%,750 ml,Red,Wine Enterprises LLC,12/31/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/hall-2008-exzellenz-sacrashe-vineyard-red-napa-rutherford/,92.0,Hall 2008 Exzellenz Sacrashe Vineyard Red (Rutherford),"Made from 100% Cabernet, this shows the tremendous richness and concentration of previous vintages of this wine, which was aged in 90% new French oak. Huge and flashy in cherry, blackberry and raspberry fruit, gorgeous, sumptuous, fat, although purists will insist it's too much of a good thing. Hard to predict its longterm future, but the next six years are assured.",,165.0,Exzellenz Sacrashe Vineyard,Bordeaux-style Red Blend,"Rutherford, Napa, California, US",Hall,15%,750 ml,Red,,12/31/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/arboleda-2011-pinot-noir-aconcagua-valley/,85.0,Arboleda 2011 Pinot Noir (Aconcagua Valley),"This opens with hard, charred, rubbery aromas. The palate feels tangy and shear, with jumpy acidity that creates raw raspberry and herbal flavors. The finish is similar: bold acidity, oak-based toast notes and herbal red-fruit flavors.",Michael Schachner,,,Pinot Noir,"Aconcagua Valley, Chile",Arboleda,14%,750 ml,Red,Thiénot USA,9/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/jaffelin-nv-blanc-blancs-brut-sparkling-cremant-bourgogne/,86.0,Jaffelin NV Blanc de Blancs Brut  (Crémant de Bourgogne),"This is a well-made, round Crémant from 100% Chardonnay. It has a good balance of minerality and fruit, offering lively acidity as well as ripe apple and white currant flavors. It has a refreshing, lifted finish.",Roger Voss,17.0,Blanc de Blancs Brut,"Sparkling Blend, Sparkling","Crémant de Bourgogne, Burgundy, France",Jaffelin,12%,750 ml,Sparkling,Epic Wines,12/1/2012,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/conceito-vinhos-2015-unico-red-douro/,95.0,Conceito Vinhos 2015 Unico Red (Douro),"Produced from old vines on the schist slopes of the upper Douro, this is an impressive wine from Carla Costa Ferreira and winemaker-daughter Rita Marques Ferreira. Dark tannins in this still-young wine bring out bitter chocolate flavors as well as enhancing the dense black fruits. Along with the rich structure and concentration, this superb wine has a sense of restrained authority and certainly the ability to age. Drink from 2021.",Roger Voss,120.0,Unico,Portuguese Red,"Douro, Portugal",Conceito Vinhos,14%,750 ml,Red,T. Elenteny Imports,12/31/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/playa-2007-claret-block-selection-estate-reserve-red-colchagua-valley/,88.0,La Playa 2007 Claret Block Selection Estate Reserve Red (Colchagua Valley),"Cleanly made and not terribly complicated, but with good fruit character, balance and all the freshness one could reasonably ask for. The nose has cherry, cassis, dry oak and herbal notes, while it tastes of cola and cherry. Fruity, snappy and juicy wine. A blend of Carmenère, Cabernet, Petit Verdot and Syrah.",Michael Schachner,11.0,Claret Block Selection Estate Reserve,"Red Blends, Red Blends","Colchagua Valley, Chile",La Playa,13.5%,750 ml,Red,Cabernet Corporation,9/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/valley-moon-2000-pinot-noir-sonoma-county/,87.0,Valley of the Moon 2000 Pinot Noir (Sonoma County),,,20.0,,Pinot Noir,"Sonoma County, Sonoma, California, US",Valley of the Moon,14.5%,750 ml,Red,,10/1/2002,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/sula-2011-dindori-reserve-shiraz-syrah-shiraz-nashik/,93.0,Sula 2011 Dindori Reserve Shiraz (Nashik),"The nose carries notes of cassis, blackberry and bell pepper. An approachable, yet complex wine, the palate shows flavors of black cherry, bacon, black pepper, vanilla and espresso bean. Rich tannins linger without burdening the taste buds. Pleasant notes of smoke and salt linger on the finish.",Mike DeSimone,20.0,Dindori Reserve,Shiraz,"Nashik, India",Sula,13.5%,750 ml,Red,"Dreyfus, Ashby & Co",12/31/2014,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/mias-playground-2006-pinot-noir-sonoma-russian-river-valley/,84.0,Mia's Playground 2006 Pinot Noir (Russian River Valley),"Tastes candy sweet, with cherry, raspberry, licorice, caramel and vanilla flavors. But the acidity and silky texture win points.",,24.0,,Pinot Noir,"Russian River Valley, Sonoma, California, US",Mia's Playground,13.5%,750 ml,Red,,8/1/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/eaglepoint-ranch-2005-shiraz-syrah-syrah-mendocino-lake-counties-county/,92.0,Eaglepoint Ranch 2005 Syrah (Mendocino County),"Rugged tannins are front and center in this youthful wine. There's a wealth of complex wild blackberry, licorice, grilled meat, sage and white-pepper flavor, and the wine is impeccably balanced. With alcohol a relatively modest 14.4%, this powerful Syrah will reward cellaring. Best 2008–2012.",,22.0,,Syrah,"Mendocino County, Mendocino County, California, US",Eaglepoint Ranch,,750 ml,Red,,12/31/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/louis-roederer-2005-cristal-brut-sparkling-champagne/,97.0,Louis Roederer 2005 Cristal Brut  (Champagne),"The iconic Roederer Champagne, Cristal's latest release, brings a perfect balance of richness and age worthiness. It is full of apple flavor, and the mousse is very fine and almost imperceptible. As so often with a beautifully blended wine like this, a few minutes breathing brings out extra complex flavors. It certainly should age over five years and more.",Roger Voss,249.0,Cristal Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Louis Roederer,12%,750 ml,Sparkling,Maisons Marques & Domaines USA,12/31/2012,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/tyrrells-2013-rufus-stone-shiraz-heathcote/,91.0,Tyrrell's 2013 Rufus Stone Shiraz (Heathcote),"This is meant to provide a counterpoint to the Tyrrell family's Hunter Valley offerings, but it retains similar sensibilities. It's a medium-weight, crisp Shiraz that features a slight herbal tinge to notes of cracked pepper and red raspberries. It finishes bright and lively; drink now–2025.",Joe Czerwinski,25.0,Rufus Stone,Shiraz,"Heathcote, Victoria, Australia",Tyrrell's,14.5%,750 ml,Red,"Broadbent Selections, Inc",10/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/domaine-carneros-1999-pinot-noir-napa-sonoma-carneros/,87.0,Domaine Carneros 1999 Pinot Noir (Carneros),"Healthy fruit combined with full-force oak creates a nose of toast, wood and smoked meat atop plum and berries. Raspberry fruit and vanilla dominate the palate, which should appeal to most Pinot drinkers. It's warm and flavorful, if a bit oaky.",,34.0,,Pinot Noir,"Carneros, Napa-Sonoma, California, US",Domaine Carneros,13.7%,750ML,Red,,10/1/2002,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/ravenswood-2009-old-hill-zinfandel-sonoma-valley/,88.0,Ravenswood 2009 Old Hill Zinfandel (Sonoma Valley),"This is rich and spicy, with the briary, brambly tastes of ripe blackberry and blueberry. It's high in alcohol, which gives it a slight burn. Enjoy it with robust Italian pasta and pizza dishes.",,60.0,Old Hill,Zinfandel,"Sonoma Valley, Sonoma, California, US",Ravenswood,15%,750 ml,Red,,12/1/2012,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/backhouse-2010-pinot-grigio-gris-grigio-other/,82.0,Backhouse 2010 Pinot Grigio (California),"Overtly sweet, like orange tea with a couple spoons of white sugar.",,7.0,,Pinot Grigio,"California, California Other, California, US",Backhouse,12.5%,750 ml,White,,12/31/2011,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/bellante-2017-camp-4-vineyard-viognier-los-olivos-district/,85.0,Bellante 2017 Camp 4 Vineyard Viognier (Los Olivos District),"The nose on this bottling is seriously tropical, with candied honeydew, coconut oil and guava paste. The palate is oily and also tropically heavy, with mango and banana flavors.",Matt Kettmann,38.0,Camp 4 Vineyard,Viognier,"Los Olivos District, Central Coast, California, US",Bellante,14.9%,750 ml,White,,10/1/2018,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/fontanella-2007-cabernet-sauvignon-napa-mount-veeder/,85.0,Fontanella 2007 Cabernet Sauvignon (Mount Veeder),"This Cab has some nice things going on in its velvety mouthfeel, but it's rather jammy-fruity and chocolatey, like a Starbucks coffee-based drink with a squirt of raspberry syrup. Doesn't seem to be ageworthy, so drink up.",,50.0,,Cabernet Sauvignon,"Mount Veeder, Napa, California, US",Fontanella,14.5%,750 ml,Red,,8/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/katarzyna-2013-halla-merlot-thracian-valley/,89.0,Katarzyna 2013 Halla Merlot (Thracian Valley),"The scents of cherries and green peppers at a farmers' market fill the nose, followed by easy-drinking flavors of cherry and red raspberry.Notes of ripe plum that culminate in a soft finish.",Jeff Jenssen,15.0,Halla,Merlot,"Thracian Valley, Bulgaria",Katarzyna,14.5%,750 ml,Red,Texavino,10/1/2015,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/14-hands-2015-chardonnay-washington-295398/,87.0,14 Hands 2015 Chardonnay (Washington),"White flower, custard and spice aromas lead to light but plentiful peach and flower flavors in this wine. Some Viognier in the blend makes its presence felt.",Sean P. Sullivan,12.0,,Chardonnay,"Washington, Washington Other, Washington, US",14 Hands,13.5%,750 ml,White,,9/1/2018,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/quinta-da-romaneira-2014-touriga-nacional-syrah-red-duriense/,91.0,Quinta da Romaneira 2014 Touriga Nacional-Syrah Red (Duriense),"When two naturally perfumed grapes get together they make an intense wine that has big aromas as well as a series of firm tannins and ripe fruit. Blackberry and spice are shot through with acidity to give a solid wine, firmly structured and fruity at the end.",Roger Voss,30.0,Touriga Nacional-Syrah,"Touriga Nacional Blend, Portuguese Red","Duriense, Portugal",Quinta da Romaneira,13.5%,750 ml,Red,Grape Expectations (CA),10/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/bertrand-ambroise-2006-chardonnay-corton-charlemagne/,93.0,Bertrand Ambroise 2006  Corton-Charlemagne,"Still young, this is a wine that needs to open and ripen. But already there are signs of richness, a wood- and tropical fruit-flavored wine that is typical of the full character of a Corton Charlemagne. It would be worth keeping 2–3 years for the wood to soften, the fruit to round out.",Roger Voss,189.0,,Chardonnay,"Corton-Charlemagne, Burgundy, France",Bertrand Ambroise,13.5%,750 ml,White,Robert Kacher Selections,5/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/munselle-2006-coyote-crest-cabernet-sauvignon-sonoma-alexander-valley/,86.0,Munselle 2006 Coyote Crest Cabernet Sauvignon (Alexander Valley),"At the age of nearly seven years, it's ready to drink now. It's soft and mellow, and the fruit is fading, leaving behind the taste of alcohol and raisins.",,65.0,Coyote Crest,Cabernet Sauvignon,"Alexander Valley, Sonoma, California, US",Munselle,14.6%,750 ml,Red,,9/1/2013,Not rated yet [Add Your Review]
